Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
239;1001060142155;H-Pur | FDA;106.0;142.0;155;1.783;;
240;1001060150155;H-Pur | FDA;106.0;150.0;155;2.225;;
241;1001060158155;H-Pur | FDA;106.0;158.0;155;2.691;;
242;1001060164155;H-Pur | FDA;106.0;164.0;155;3.056;;
243;1001060168155;H-Pur | FDA;106.0;168.0;155;3.307;;
244;1001060174155;H-Pur | FDA;106.0;174.0;155;3.695;;
245;1001140134155;H-Pur | FDA;114.0;134.0;155;1.048;;
246;1001140142155;H-Pur | FDA;114.0;142.0;155;1.465;;
247;1001140150155;H-Pur | FDA;114.0;150.0;155;1.907;;
248;1001140158155;H-Pur | FDA;114.0;158.0;155;2.373;;
249;1001140164155;H-Pur | FDA;114.0;164.0;155;2.738;;
250;1001140168155;H-Pur | FDA;114.0;168.0;155;2.989;;
251;1001140174155;H-Pur | FDA;114.0;174.0;155;3.377;;
252;1001140182155;H-Pur | FDA;114.0;182.0;155;3.916;;
253;1001220142155;H-Pur | FDA;122.0;142.0;155;1.124;;
254;1001220150155;H-Pur | FDA;122.0;150.0;155;1.566;;
255;1001220158155;H-Pur | FDA;122.0;158.0;155;2.032;;
256;1001220164155;H-Pur | FDA;122.0;164.0;155;2.397;;
257;1001220168155;H-Pur | FDA;122.0;168.0;155;2.648;;
258;1001220174155;H-Pur | FDA;122.0;174.0;155;3.036;;
259;1001220182155;H-Pur | FDA;122.0;182.0;155;3.575;;
260;1001220190155;H-Pur | FDA;122.0;190.0;155;4.138;;
261;1001280150155;H-Pur | FDA;128.0;150.0;155;1.295;;
262;1001280158155;H-Pur | FDA;128.0;158.0;155;1.761;;
263;1001280164155;H-Pur | FDA;128.0;164.0;155;2.126;;
264;1001280168155;H-Pur | FDA;128.0;168.0;155;2.377;;
265;1001280174155;H-Pur | FDA;128.0;174.0;155;2.765;;
266;1001280182155;H-Pur | FDA;128.0;182.0;155;3.304;;
267;1001280190155;H-Pur | FDA;128.0;190.0;155;3.867;;
268;1001280198155;H-Pur | FDA;128.0;198.0;155;4.454;;
269;1001360158155;H-Pur | FDA;136.0;158.0;155;1.379;;
270;1001360164155;H-Pur | FDA;136.0;164.0;155;1.745;;
271;1001360168155;H-Pur | FDA;136.0;168.0;155;1.996;;
272;1001360174155;H-Pur | FDA;136.0;174.0;155;2.384;;
273;1001360182155;H-Pur | FDA;136.0;182.0;155;2.922;;
274;1001360190155;H-Pur | FDA;136.0;190.0;155;3.485;;
275;1001360198155;H-Pur | FDA;136.0;198.0;155;4.072;;
276;1001360206155;H-Pur | FDA;136.0;206.0;155;4.683;;
277;1001460164155;H-Pur | FDA;146.0;164.0;155;1.235;;
278;1001460168155;H-Pur | FDA;146.0;168.0;155;1.486;;
279;1001460174155;H-Pur | FDA;146.0;174.0;155;1.874;;
280;1001460182155;H-Pur | FDA;146.0;182.0;155;2.413;;
281;1001460190155;H-Pur | FDA;146.0;190.0;155;2.975;;
282;1001460198155;H-Pur | FDA;146.0;198.0;155;3.562;;
283;1001460206155;H-Pur | FDA;146.0;206.0;155;4.174;;
284;1001460214155;H-Pur | FDA;146.0;214.0;155;4.809;;
285;1001530174155;H-Pur | FDA;153.0;174.0;155;1.496;;
286;1001530182155;H-Pur | FDA;153.0;182.0;155;2.035;;
287;1001530190155;H-Pur | FDA;153.0;190.0;155;2.597;;
288;1001530198155;H-Pur | FDA;153.0;198.0;155;3.184;;
289;1001530206155;H-Pur | FDA;153.0;206.0;155;3.795;;
290;1001530214155;H-Pur | FDA;153.0;214.0;155;4.431;;
291;1001530222155;H-Pur | FDA;153.0;222.0;155;5.09;;
292;1001620182155;H-Pur | FDA;162.0;182.0;155;1.522;;
293;1001620190155;H-Pur | FDA;162.0;190.0;155;2.085;;
294;1001620198155;H-Pur | FDA;162.0;198.0;155;2.672;;
295;1001620206155;H-Pur | FDA;162.0;206.0;155;3.283;;
296;1001620214155;H-Pur | FDA;162.0;214.0;155;3.919;;
297;1001620222155;H-Pur | FDA;162.0;222.0;155;4.578;;
298;1001620230155;H-Pur | FDA;162.0;230.0;155;5.262;;
299;1001700190155;H-Pur | FDA;170.0;190.0;155;1.605;;
300;1001700198155;H-Pur | FDA;170.0;198.0;155;2.192;;
301;1001700206155;H-Pur | FDA;170.0;206.0;155;2.803;;
