Index;PartNumber;Material;ID_nom;OD_nom;Len;Weight;ID_pic;OD_pic
13848;7000820110155;Max H-Pur | FDA;82.0;110.0;155;0.9;;
13849;7000820114155;Max H-Pur | FDA;82.0;114.0;155;1.042;;
13850;7000820118155;Max H-Pur | FDA;82.0;118.0;155;1.189;;
13851;7000820122155;Max H-Pur | FDA;82.0;122.0;155;1.34;;
13852;7000820126155;Max H-Pur | FDA;82.0;126.0;155;1.497;;
13853;7000820129155;Max H-Pur | FDA;82.0;129.0;155;1.618;;
13854;7000820134155;Max H-Pur | FDA;82.0;134.0;155;1.825;;
13855;7000820142155;Max H-Pur | FDA;82.0;142.0;155;2.174;;
13856;7000820150155;Max H-Pur | FDA;82.0;150.0;155;2.543;;
13857;7000860103155;Max H-Pur | FDA;86.0;103.0;155;0.564;;
13858;7000860106155;Max H-Pur | FDA;86.0;106.0;155;0.663;;
13859;7000860112155;Max H-Pur | FDA;86.0;112.0;155;0.869;;
13860;7000860118155;Max H-Pur | FDA;86.0;118.0;155;1.087;;
13861;7000860122155;Max H-Pur | FDA;86.0;122.0;155;1.239;;
13862;7000860126155;Max H-Pur | FDA;86.0;126.0;155;1.396;;
13863;7000860129155;Max H-Pur | FDA;86.0;129.0;155;1.517;;
13864;7000860134155;Max H-Pur | FDA;86.0;134.0;155;1.724;;
13865;7000860142155;Max H-Pur | FDA;86.0;142.0;155;2.073;;
13866;7000860150155;Max H-Pur | FDA;86.0;150.0;155;2.442;;
13867;7000900110155;Max H-Pur | FDA;90.0;110.0;155;0.693;;
13868;7000900114155;Max H-Pur | FDA;90.0;114.0;155;0.835;;
13869;7000900118155;Max H-Pur | FDA;90.0;118.0;155;0.982;;
13870;7000900122155;Max H-Pur | FDA;90.0;122.0;155;1.133;;
13871;7000900126155;Max H-Pur | FDA;90.0;126.0;155;1.29;;
13872;7000900129155;Max H-Pur | FDA;90.0;129.0;155;1.411;;
13873;7000900134155;Max H-Pur | FDA;90.0;134.0;155;1.618;;
13874;7000900142155;Max H-Pur | FDA;90.0;142.0;155;1.967;;
13875;7000900150155;Max H-Pur | FDA;90.0;150.0;155;2.336;;
13876;7000900158155;Max H-Pur | FDA;90.0;158.0;155;2.725;;
13877;7000960114155;Max H-Pur | FDA;96.0;114.0;155;0.667;;
13878;7000960118155;Max H-Pur | FDA;96.0;118.0;155;0.814;;
13879;7000960122155;Max H-Pur | FDA;96.0;122.0;155;0.965;;
13880;7000960126155;Max H-Pur | FDA;96.0;126.0;155;1.122;;
13881;7000960129155;Max H-Pur | FDA;96.0;129.0;155;1.243;;
13882;7000960134155;Max H-Pur | FDA;96.0;134.0;155;1.451;;
13883;7000960142155;Max H-Pur | FDA;96.0;142.0;155;1.799;;
13884;7000960150155;Max H-Pur | FDA;96.0;150.0;155;2.168;;
13885;7000960158155;Max H-Pur | FDA;96.0;158.0;155;2.558;;
13886;7000960164155;Max H-Pur | FDA;96.0;164.0;155;2.863;;
13887;7001060126155;Max H-Pur | FDA;106.0;126.0;155;0.818;;
13888;7001060129155;Max H-Pur | FDA;106.0;129.0;155;0.939;;
13889;7001060134155;Max H-Pur | FDA;106.0;134.0;155;1.147;;
13890;7001060142155;Max H-Pur | FDA;106.0;142.0;155;1.496;;
13891;7001060150155;Max H-Pur | FDA;106.0;150.0;155;1.865;;
13892;7001060158155;Max H-Pur | FDA;106.0;158.0;155;2.254;;
13893;7001060164155;Max H-Pur | FDA;106.0;164.0;155;2.559;;
13894;7001060168155;Max H-Pur | FDA;106.0;168.0;155;2.769;;
13895;7001060174155;Max H-Pur | FDA;106.0;174.0;155;3.093;;
13896;7001140134155;Max H-Pur | FDA;114.0;134.0;155;0.882;;
13897;7001140142155;Max H-Pur | FDA;114.0;142.0;155;1.231;;
13898;7001140150155;Max H-Pur | FDA;114.0;150.0;155;1.6;;
13899;7001140158155;Max H-Pur | FDA;114.0;158.0;155;1.989;;
13900;7001140164155;Max H-Pur | FDA;114.0;164.0;155;2.294;;
13901;7001140168155;Max H-Pur | FDA;114.0;168.0;155;2.504;;
13902;7001140174155;Max H-Pur | FDA;114.0;174.0;155;2.828;;
13903;7001140182155;Max H-Pur | FDA;114.0;182.0;155;3.278;;
13904;7001220142155;Max H-Pur | FDA;122.0;142.0;155;0.947;;
13905;7001220150155;Max H-Pur | FDA;122.0;150.0;155;1.316;;
13906;7001220158155;Max H-Pur | FDA;122.0;158.0;155;1.705;;
13907;7001220164155;Max H-Pur | FDA;122.0;164.0;155;2.01;;
13908;7001220168155;Max H-Pur | FDA;122.0;168.0;155;2.22;;
13909;7001220174155;Max H-Pur | FDA;122.0;174.0;155;2.544;;
13910;7001220182155;Max H-Pur | FDA;122.0;182.0;155;2.994;;
13911;7001220190155;Max H-Pur | FDA;122.0;190.0;155;3.464;;
13912;7001280150155;Max H-Pur | FDA;128.0;150.0;155;1.09;;
13913;7001280158155;Max H-Pur | FDA;128.0;158.0;155;1.479;;
13914;7001280164155;Max H-Pur | FDA;128.0;164.0;155;1.785;;
13915;7001280168155;Max H-Pur | FDA;128.0;168.0;155;1.994;;
13916;7001280174155;Max H-Pur | FDA;128.0;174.0;155;2.318;;
13917;7001280182155;Max H-Pur | FDA;128.0;182.0;155;2.768;;
13918;7001280190155;Max H-Pur | FDA;128.0;190.0;155;3.238;;
13919;7001280198155;Max H-Pur | FDA;128.0;198.0;155;3.729;;
13920;7001360158155;Max H-Pur | FDA;136.0;158.0;155;1.162;;
13921;7001360164155;Max H-Pur | FDA;136.0;164.0;155;1.467;;
13922;7001360168155;Max H-Pur | FDA;136.0;168.0;155;1.677;;
13923;7001360174155;Max H-Pur | FDA;136.0;174.0;155;2.001;;
13924;7001360182155;Max H-Pur | FDA;136.0;182.0;155;2.451;;
13925;7001360190155;Max H-Pur | FDA;136.0;190.0;155;2.921;;
13926;7001360198155;Max H-Pur | FDA;136.0;198.0;155;3.411;;
